"ridge" "grridge" "gren1" "gren2" "gren3" "enet1" "enet2" "enet3" "cmcp1" "cmcp2" "cmcp3" "gel1" "gel2" "gel3"
"pred60" 0.632082157348084 0.634341766839178 0.710786916245977 0.740404967832457 0.725877962573991 0.698878044653741 0.678860371522636 0.732814533858773 0.644762086100545 0.609280533179506 0.609280533179506 0.77420020298458 0.824074975326965 0.900230186682915
"pred61" 0.692831370227765 0.679416656329669 0.714064613853031 0.702714526359856 0.674056643779269 0.717478172764702 0.725858458723616 0.721960111244613 0.686995840323571 0.583388901256312 0.583388901256312 0.899234935583402 0.856707456784733 0.653867222775692
"pred62" 0.823897082279395 0.835651081565757 0.862547907184856 0.795766352480014 0.822876695479989 0.845449845618364 0.704723718282855 0.708812257074073 0.69959742917323 0.630828573436007 0.630828573436007 0.919518843499728 0.976403937250434 0.999932141808327
"pred63" 0.685401523910646 0.688311135612792 0.673553713400335 0.687300198488204 0.694654950269588 0.64965652110159 0.703999410737534 0.72701493494086 0.684136358733232 0.581549766945893 0.581549766945893 0.690574336738996 0.134374703717619 0.000746308186309256
"pred64" 0.352994715122497 0.344719817117834 0.32939262777778 0.414672481431983 0.296808346311558 0.320616829324138 0.402168391841446 0.303929204212333 0.433988905916751 0.567805704064542 0.567805704064542 0.248337383484574 0.106579154087409 0.0608524407284122
"pred65" 0.70623998728022 0.70819727727302 0.768651470009762 0.740118123001838 0.731755228293293 0.740535828606613 0.622390804056208 0.637707294281034 0.626066875246906 0.590955675370203 0.590955675370203 0.731996275559352 0.755892404028202 0.946798584292064
"pred66" 0.593289237455293 0.607787696114562 0.659482805299216 0.690518044062483 0.744741847198844 0.615414979298169 0.661665610580053 0.725446120654473 0.623021776058455 0.611958244786172 0.611958244786172 0.5019851488342 0.578740844587418 0.126474384220438
"pred67" 0.749989258925353 0.759069259920524 0.746979480770535 0.709795083596183 0.698117775838281 0.682309985352012 0.630529584157668 0.559727843468398 0.629419181462688 0.6127892566131 0.6127892566131 0.57543452434323 0.98495162139074 0.999972178669229
"pred68" 0.674448063979086 0.673843309895186 0.753534340142551 0.704059753223965 0.735673567873736 0.753541424772705 0.679510743926624 0.669481048426057 0.676214249237883 0.569609841464333 0.569609841464333 0.718065485711894 0.52696455268323 0.084291713039288
"pred69" 0.403764901459524 0.395476223918791 0.345136884845341 0.359097795750659 0.321586662415447 0.372255300862416 0.449697138572105 0.412462213860534 0.467801284671902 0.583416578002881 0.583416578002881 0.218762035414821 0.471481389959497 0.337481120811128
"pred70" 0.748968729198659 0.759722511662772 0.790633748481085 0.672084278161637 0.727588112994034 0.783732020210041 0.726615444639232 0.719794030219443 0.705155749233829 0.572391027962582 0.572391027962582 0.787325336603254 0.810599466435221 0.976139280792547
"pred71" 0.677726024167924 0.68811668432333 0.779423058336906 0.816644757675622 0.887967396609154 0.74667227019963 0.701929346649311 0.759013512236719 0.683802279243471 0.610162503566157 0.610162503566157 0.580443817719159 0.811221806518657 0.951588444731843
"pred72" 0.43658348264856 0.434173917813659 0.321086257477201 0.296403070867102 0.214604783584588 0.3041255782026 0.286289740913429 0.242162388249258 0.332985435170259 0.528360264296849 0.528360264296849 0.371974129344736 0.216509662802352 0.0492643502324336
"pred73" 0.449052675842877 0.412627612976723 0.339075234890151 0.16723628695568 0.149213419166252 0.395612277996926 0.395573113290757 0.53080127442071 0.391373589580213 0.480879710958438 0.480879710958438 0.897038221555991 0.262170981201751 0.335925969045308
"pred74" 0.34400357669846 0.323757847909944 0.312604330499745 0.316909686645419 0.265634735800812 0.36159101579607 0.403944800271988 0.322903376724952 0.439428195184762 0.516580316880739 0.516580316880739 0.157256498675694 0.200917723143078 0.0294998933319432
"pred75" 0.730458467662662 0.744101522934265 0.796294562744795 0.785254991805036 0.833515672496855 0.774881974331042 0.694010154059941 0.766844205247636 0.668786952697779 0.621657953865911 0.621657953865911 0.873965065114381 0.877122325876565 0.831023484347766
"pred76" 0.72012972734296 0.716786780392327 0.756233834841158 0.800521782020952 0.862792994004268 0.751476479432753 0.685190552421775 0.742576032773694 0.670416339013824 0.583169613503858 0.583169613503858 0.943925400320748 0.929879115253821 0.998580542257685
"pred77" 0.76851085933953 0.77597158944659 0.848615458248432 0.861159475540625 0.937738892728599 0.827197842804766 0.761177896178639 0.852786607493103 0.728398837262761 0.607071377582115 0.607071377582115 0.878557445650965 0.975356308265346 0.999396261285174
"pred78" 0.648143997967559 0.645985493003912 0.689705918399895 0.573386049422046 0.549407024816912 0.68865254863277 0.531007866069568 0.488584663945793 0.564508762318405 0.557675249584056 0.557675249584056 0.852805434677293 0.87429051962386 0.94336762408478
"pred79" 0.322655644894503 0.312021966611933 0.298701639004162 0.409011210101792 0.409454102419812 0.322269784760494 0.468427628864484 0.456591474211768 0.469900131714878 0.57687771179367 0.57687771179367 0.0945042208074447 0.165738477327198 0.0242418909720401
