"ridge" "grridge" "gren1" "gren2" "gren3" "enet1" "enet2" "enet3" "sgl1" "sgl2" "sgl3" "cmcp1" "cmcp2" "cmcp3" "gel1" "gel2" "gel3"
"pred87" 0.444761322924171 0.443094892921945 0.47676495037044 0.413216250497232 0.399536783620442 0.479635339506326 0.49634828355889 0.487523268800157 0.424322642859557 0.349459815763122 0.226795617226954 0.489918994092124 0.483353524272358 0.47983770454394 0.488261817226725 0.430771697374872 0.41916874005916
"pred88" 0.216578388777598 0.216578388777598 0.24739368604228 0.407541535896498 0.38541436977144 0.235648448809796 0.441008482626873 0.429701900789061 0.291231480068143 0.315372898937502 0.0717455923933467 0.463879056013858 0.46546377051696 0.452503498571559 0.436810661420619 0.364634754459741 0.34662692589471
"pred89" 0.502936041219168 0.501466665643018 0.492610588007523 0.456540153308379 0.447131903730809 0.510226055364767 0.501973010913085 0.483150479700946 0.5 0.212894914609299 0.474201494073655 0.484022252406504 0.507123204828244 0.508266319872341 0.51968307701508 0.515729421160504 0.518785691743715
"pred90" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"pred91" 0.129888793601012 0.129582753452654 0.145984249695144 0.258085468746651 0.202366774771849 0.150828892767444 0.293989165635263 0.22068588410969 0.139668804120853 0.000762386196131188 0.000326817568811739 0.270998701051141 0.480746489391635 0.469680898101014 0.360481049455667 0.323871712335554 0.291156975671655
"pred92" 0.368668495314851 0.372156017146675 0.389531811659391 0.419766072555792 0.428415411248756 0.386539506985139 0.43712844073526 0.438998437317933 0.251697758785837 0.142361771017342 0.137032809867148 0.474544815861557 0.473628575182719 0.467567967784689 0.455988929998438 0.382272809388751 0.361904544048301
"pred93" 0.175667342852448 0.172562901175906 0.147973388909636 0.138811275955599 0.099648414402192 0.202688535302941 0.236325349123421 0.293584316481562 0.0971691607877345 0.0986596169145984 0.00111648109987902 0.467231439561329 0.334744592244242 0.422456146928054 0.136417752324468 0.206988934728857 0.000262912060247557
"pred94" 0.163674993956978 0.160682732440487 0.112038365616508 0.135792384330945 0.0871811452539797 0.11503845986833 0.343689369285865 0.0641444202172807 0.0501429134492326 0.0666482543034524 0.00251331353807764 0.218835419206683 0.372688068171081 0.426722852966413 0.0687654178361919 0.234133872550486 0.0120283602367615
"pred95" 0.369075699253555 0.369075699253555 0.428039415057327 0.46791975979382 0.484457512779216 0.433532477828442 0.422509770090844 0.418853028179238 0.287121005433398 0.291718540909762 0.0409764802687245 0.452300110775948 0.463881763081699 0.449830113677273 0.427417018576027 0.355014094250843 0.335734819798192
"pred96" 0.580427769495871 0.580427769495871 0.589674671720052 0.607252361304744 0.636346194832825 0.58624439880075 0.535494304057958 0.532964925423953 0.885711497651114 0.820806264259048 0.942413500468354 0.51387285352668 0.504592954282424 0.518871443954089 0.527492325303409 0.616342309951448 0.636549106291759
"pred97" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"pred98" 0.432976264335397 0.442108355329445 0.493421655785885 0.485566799878039 0.474632279279236 0.465341067618398 0.503657394734567 0.460900543353354 0.199547298972166 0.205791730947311 0.235641280566167 0.486476142078322 0.447742893899109 0.473553366031534 0.460998253778999 0.404278508020246 0.949518296695222
"pred99" 0.606934491798422 0.607437052562293 0.613289108799183 0.553142514086335 0.585878876042185 0.631464758568582 0.406126102708178 0.657086021257538 0.146530029103929 0.132373123470666 0.00808903882170485 0.460524400662838 0.381843938495087 0.432578605977974 0.798755975061001 0.249494904883582 0.932587712990805
"pred100" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"pred101" 0.181199441454401 0.180605998963836 0.112657810723193 0.159481197585981 0.0893765955174038 0.120026379506734 0.372041938949832 0.0795144872272664 0.12455895356459 0.140694129349156 0.00295622305533213 0.239019084024064 0.408279077729056 0.449300739449857 0.0759657335497606 0.296633317155211 0.0310757167605153
"pred102" 0.332598270373691 0.328162460297801 0.306960416146953 0.262353400522801 0.354279205455812 0.324967415833761 0.337419763164977 0.355500197042142 0.0512828578896704 0.0513536524111706 0.00112526555309793 0.311366954307617 0.348889114096242 0.411316413824899 0.244032901909561 0.196694618177645 0.471030396248234
"pred103" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"pred104" 0.65603207370493 0.665530627736106 0.702587434210513 0.782347022582854 0.853789234722839 0.639339131466331 0.609432335557903 0.548856234741643 0.612432780310624 0.647202362470797 0.458453309861375 0.494033270705407 0.51528301918299 0.502896641868848 0.728557120315756 0.538688937884878 0.999665066337597
"pred105" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"pred106" 0.322914147126759 0.315108362788681 0.284264023709703 0.222524602335277 0.154118381059593 0.398945626133756 0.369547836574967 0.429578431724387 0.29009637236851 0.306505979403089 0.0514574421572303 0.482381229779904 0.437335085769677 0.468995479991005 0.246922759089289 0.384100230953256 3.89451642502713e-06
"pred107" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
