"gren1" "gren2" "gren3" "enet1" "enet2" "enet3"
"combn275" 11 10 10 2 5 3
"combn276" 2 2 0 5 5 3
"combn277" 17 14 13 6 7 4
"combn278" 13 13 10 1 3 4
"combn279" 15 11 12 3 3 5
"combn280" 15 13 12 6 5 6
"combn281" 15 13 11 1 2 2
"combn282" 14 14 13 3 5 2
"combn283" 9 8 6 2 2 2
"combn284" 13 14 11 3 4 3
"combn285" 14 13 9 3 5 5
"combn286" 10 12 7 1 3 5
"combn287" 15 12 6 1 2 0
"combn288" 11 11 9 1 4 7
"combn289" 11 10 7 5 6 4
"combn290" 7 7 9 2 4 2
"combn291" 16 12 13 4 4 3
"combn292" 12 13 12 2 2 4
"combn293" 11 10 12 5 6 4
"combn294" 15 9 11 1 3 4
"combn295" 13 10 11 1 2 1
"combn296" 12 12 11 3 3 4
"combn297" 17 16 15 4 7 6
"combn298" 7 8 6 2 2 1
"combn299" 18 14 12 4 4 3
"combn300" 9 10 7 1 1 2
"combn301" 10 11 7 0 0 1
"combn302" 15 11 8 2 2 3
"combn303" 15 12 10 1 0 3
"combn304" 11 8 10 3 2 3
"combn305" 19 16 14 7 10 8
"combn306" 10 11 11 1 2 3
"combn307" 12 12 12 4 3 3
"combn308" 16 12 12 4 5 4
"combn309" 18 15 13 7 7 6
"combn310" 14 10 6 1 1 2
"combn311" 19 16 13 4 6 3
"combn312" 10 10 8 2 3 4
"combn313" 18 13 15 4 4 5
"combn314" 11 10 7 1 2 2
"combn315" 16 13 12 2 3 2
"combn316" 8 10 9 1 0 0
"combn317" 2 1 0 2 2 1
"combn318" 11 10 9 2 2 1
"combn319" 12 13 10 2 4 1
"combn320" 12 10 9 0 1 1
"combn321" 9 11 8 2 4 4
"combn322" 10 7 6 1 4 3
"combn323" 12 10 7 2 1 0
"combn324" 9 11 11 4 6 4
"combn325" 8 10 8 3 7 5
"combn326" 10 10 5 2 3 2
"combn327" 10 10 8 3 7 5
"combn328" 14 16 12 5 5 4
"combn329" 8 9 9 2 2 2
"combn330" 11 6 7 5 3 5
