"ridge" "grridge" "gren1" "gren2" "gren3" "enet1" "enet2" "enet3" "cmcp1" "cmcp2" "cmcp3" "gel1" "gel2" "gel3"
"pred33" 0.383256751873199 0.399307563866662 0.497093794591517 0.541071788306817 0.537148469441121 0.430588492695534 0.480005083759745 0.515272728534183 0.483945602734831 0.412766658456064 0.402594593757368 0.399701213277907 0.377283176127168 0.0041925649286734
"pred34" 0.275694526811767 0.287142894101254 0.328119743140619 0.40394264181535 0.352320303932521 0.293513370447222 0.342132603461247 0.277274878248441 0.474129634505087 0.48705998792295 0.475025065282248 0.225998840102281 0.328636283989649 0.291687935948161
"pred35" 0.932341184685311 0.936927672916445 0.921974645543875 0.893301315932603 0.917214420584405 0.891594241632864 0.714984804783346 0.778913891210467 0.563595052843235 0.532867339413896 0.542261083899202 0.91686292105883 0.681995328677318 0.720507788770723
"pred36" 0.657414111493917 0.658180482700041 0.66677846720276 0.527998063835169 0.526032806796567 0.666911022118439 0.512663563103724 0.503939006742882 0.498965529185411 0.494094441711327 0.50890430008029 0.503193135091101 0.585708436168854 0.60794268693986
"pred37" 0.333253947615489 0.333850042357757 0.334594472792635 0.299063089355489 0.25801775128553 0.330769031606508 0.265361641643308 0.23136908141236 0.428984639167941 0.423139307171812 0.414900823009799 0.300912483413448 0.394487351095247 0.112025107691955
"pred38" 0.402804830202758 0.399227505835614 0.355609983282842 0.281820991158602 0.26363947567129 0.370867727085259 0.30947170586764 0.274981290247553 0.417002895717996 0.456614261983515 0.454769308166185 0.385822455657472 0.450896771891824 0.138382059736082
"pred39" 0.829018864848097 0.828142151068831 0.797588372030093 0.840526831604543 0.830816464804127 0.790180759781866 0.811612477419414 0.746547085168996 0.755548114004088 0.540944479347551 0.582592248565947 0.854456243678722 0.883795454163544 0.930854909036047
"pred40" 0.833022936622737 0.837787052240633 0.775274709071007 0.821963921739743 0.716539169180068 0.76098253028675 0.831207538521016 0.664872624092349 0.712102594730707 0.512997244242716 0.528478570640046 0.883192569522206 0.95946927660824 0.999309086327351
"pred41" 0.794057505293872 0.781725779975076 0.734130993058357 0.601949471515977 0.615149859007732 0.772755052541423 0.53551625124907 0.513396899575884 0.545989234598199 0.478751796382415 0.479021524059157 0.530705460679011 0.40856804547033 0.393992409263562
"pred42" 0.672043118540377 0.672017489055455 0.655400497041871 0.636483036198812 0.635636125306006 0.641655209774188 0.593860139854321 0.593079372719769 0.542386970196908 0.507487596987187 0.541966037032359 0.590596077252854 0.705900234855748 0.746215667235915
"pred43" 0.710564049158704 0.713246341986887 0.637861468318743 0.664132179934932 0.609502484257055 0.640142190582368 0.596009761893322 0.531586945706136 0.575061435203604 0.518682835231994 0.539560449186972 0.753830383356038 0.827035064664511 0.992394900704611
"pred44" 0.486241755966171 0.500444873095583 0.456240251537369 0.731084775155586 0.525060978428103 0.438448673329786 0.606163778650856 0.365186191473396 0.593978829361902 0.550935263816112 0.584260434334899 0.339252573975713 0.729698707545013 0.765878376597474
"pred45" 0.373917989312353 0.385567455358952 0.406902719181994 0.448992588892491 0.425992038992862 0.422518663391981 0.522947864658923 0.524871041073965 0.522232975181282 0.514177397523016 0.515923566878981 0.342328614023192 0.611813492332201 0.00308336933523368
"pred46" 0.459011020319334 0.456426108146973 0.409570237071463 0.380140863570641 0.347591665056829 0.42460785490075 0.363922286410767 0.325226507975266 0.440286617982739 0.491452629099302 0.496381261859595 0.434297806189383 0.510243579637516 0.420918071199913
"pred47" 0.347985026430064 0.352071271532381 0.418227761868057 0.364247229983581 0.481014780310935 0.426806921933299 0.330462298507442 0.442948803158318 0.480412522825913 0.525169533393196 0.552167181853958 0.254999971279838 0.0723601882234403 0.000540907525764211
"pred48" 0.505690119893325 0.49122975488752 0.364867585039844 0.358952655012656 0.364903456912915 0.435310517309234 0.423941921862293 0.430220104082987 0.429542262716154 0.431817088688032 0.42521636416883 0.501270595929058 0.408997546086054 0.999926844572407
"pred49" 0.117708086370796 0.115173274383286 0.189561990983447 0.093139560794276 0.193900045728947 0.212574043712276 0.103723400406498 0.217959085202442 0.256146261187223 0.49903983841281 0.501199142259864 0.0757537130946779 0.0269206566798091 0.000781663466685358
