"miRNA"	"precursor"	"geomeanM"	"geomeanMN"	"geomeanP"	"geomeanPN"	"medianM"	"medianMN"	"medianP"	"medianPN"	"maxM"	"maxMN"	"maxP"	"maxPN"	"BFDR_MNminPN"	"BFDR_MNminM"	"BFDR_MminP"	"BFDR_PNminP"	"BFDR_MNminPNcorr"	"logfc_MNminPN"	"logfc_MNminM"	"logfc_MminP"	"logfc_PNminP"	"logfc_MNminPNcorr"
"hsa-miR-3691-5p"	"hsa-mir-3691"	2.5	1.5	2.56	1.66	3	1	2	1	22	4	8	6	0.186829289312885	0.00844921749271009	0.731493921001213	0.20290420889835	0.177720019189716	-0.219194011753314	-0.961933506027903	0.00954516423881701	-0.177516741481803	0.380757641450789
"hsa-miR-369-5p"	"hsa-mir-369"	21.3	26.6	24.3	31	23	33	29	28	96	59	115	69	0.509440954404846	0.340560628060795	0.65725410948294	0.478237455326412	0.623564394843997	-0.00118270895941612	0.0580426501431055	-0.0346444023359837	0.00744523282515393	-0.0234949856827893
"hsa-miR-370-5p"	"hsa-mir-370"	0.6	1.26	0.89	0.56	0	2	1	1	7	21	5	3	0.00245121259825134	0.00158604495136136	0.535549456023169	0.323908112784921	0.00763159659503432	1.22517623770313	1.3206901133067	-0.0780921305892331	-0.103393390556064	-1.36353107247185
"hsa-miR-371a-5p"	"hsa-mir-371a"	0.88	0.49	0.37	0.0600000000000001	0	0	0	0	450	13	12	1	0.00212699701066194	0.0606961177994882	0.412015913944095	0.0550025301667789	0.585788037130854	2.1405894925689	-0.896816406586638	0.173691665568208	-0.909735980748251	-0.521513707963436
"hsa-miR-371b-5p"	"hsa-mir-371b"	1.31	1.11	1.52	1.05	1	2	1	1	11	5	12	5	0.406507287851866	0.400846821554282	0.757640359834507	0.432785983313966	0.529140690085631	0.0446649333953084	-0.0549668731153253	0.0128710967668434	-0.0265515571343186	-0.00282013104194062
"hsa-miR-374a-5p"	"hsa-mir-374a"	389	399	410	512	406	484	399	535	935	1026	891	915	0.50788045250506	0.447408596070554	0.739179025638595	0.222975750185867	0.567051581171085	-0.0042686498512059	0.0123186956417665	0.011168132364696	0.106750921139547	0.0105184630395302
"hsa-miR-374b-5p"	"hsa-mir-374b"	237	243	198	235	213	260	229	257	1095	473	551	451	0.495380776192263	0.439087624884782	0.583973255154152	0.478759001591595	0.550361454200763	0.0108690195255277	-0.0157601695269773	0.0454798271550421	0.00910332169973669	0.015521682993136
"hsa-miR-374c-5p"	"hsa-mir-374c"	1.8	4.15	0.89	4.18	1	6	1	7	24	17	16	16	0.327256149541503	0.396177827105583	0.725831482136691	0.172148825858715	0.641732094890845	-0.061110811885131	0.0505173333374683	-0.00340302185859501	0.238504012073925	0.0405298496014074
"hsa-miR-376b-5p"	"hsa-mir-376b"	0.6	0.74	0.46	0.64	0	1	0	1	11	3	5	3	0.471375647614763	0.347622351943504	0.744337423455092	0.375181514594935	0.490871668988626	-0.010475035320513	-0.090373094619206	0.000275112246786216	-0.0679137368253454	0.0125493835838729
"hsa-miR-376c-5p"	"hsa-mir-376c"	0.6	0.74	0.46	0.64	0	1	0	1	11	3	5	3	0.471637850516208	0.347954610058175	0.744435707525878	0.375497386460953	0.49186291308051	-0.010475035320513	-0.090373094619206	0.000275112246786216	-0.0679137368253454	0.0125493835838729
"hsa-miR-377-5p"	"hsa-mir-377"	7.12	9.9	6.19	9.4	8	10	8.5	10	77	39	21	22	0.160780637989625	0.0186487307036916	0.314176951474971	0.4498336689045	0.609437681561902	0.152662266334296	0.541994287619082	-0.0749060689897506	0.0216327579370693	-0.0274235750593256
"hsa-miR-378a-5p"	"hsa-mir-378a"	68.4	110	72.5	363	62	149	72.5	409	451	379	564	889	2.56162459560362e-05	0.000296689489753731	0.62164246112219	2.11547822353755e-07	0.737313645795297	-0.822303574436766	0.815587164881065	-0.0409210781320874	1.42029199966518	0.550226730868856
